Table 1
Target Early M Stars Observed by GALEX

Name	R.A._J2000	Decl._J2000	SpT	J_2MASS	Dist.^a	Bin.^b	Bin. Sep.^c	F_FUV	F_NUV	References.^d
(deg)	(deg)	(mag)	(pc)	Type	(")	(muJy)	(muJy)
TW Hydra Association, 10 Myr old
LP 15-292	69.727959	+19.182240	M3	10.2	46.3	 ... 	 ... 	<5.00	27.03 +or- 2.08	22
Cl Melotte 25 310	70.052960	+19.286110	M1	9.9	46.3	 ... 	 ... 	<5.00	3.91 +or- 1.20	22
Cl* Melotte 25 REID 122	64.005982	+16.983133	M1	10.8	46.3	 ... 	 ... 	<3.00	5.62 +or- 2.12	22
Cl* Melotte 25 REID 132	64.180400	+16.822313	M3	11.2	46.3	 ... 	 ... 	<3.00	6.01 +or- 2.72	22
Cl* Melotte 25 REID 142	64.479131	+16.544498	M2	10.0	46.3	 ... 	 ... 	7.04 +or- 3.12	34.11 +or- 3.47	22
GJ 3290	66.819316	+17.241827	M1.5	9.7	46.3	 ... 	 ... 	<3.00	7.68 +or- 3.08	22
Cl* Melotte 25 VA 559	67.482176	+16.914061	M2	9.5	46.3	 ... 	 ... 	3.45 +or- 0.42	25.69 +or- 0.40	22
LP 358-534	65.482731	+23.418280	M4	9.9	46.3	 ... 	 ... 	<1.00	11.30 +or- 1.78	22
LP 358-724	66.325686	+23.060841	M4	10.3	46.3	 ... 	 ... 	Not. Obs.	<2.00	22
Cl* Melotte 25 REID 135	64.226897	+16.356930	M4	10.4	46.3	 ... 	 ... 	<3.00	2.16 +or- 2.01	22
1RXS J041755.6+163249	64.479131	+16.544498	M3	10.0	46.3	 ... 	 ... 	14.08 +or- 4.25	31.42 +or- 2.76	22
Cl* Melotte 25 REID 176	65.664747	+18.269377	M0.5	9.6	46.3	 ... 	 ... 	Not. Obs.	2.15 +or- 1.79	22
1RXS J042829.4+174138	67.122875	+17.694851	M2	 ... 	46.3	 ... 	 ... 	35.85 +or- 7.00	115.38 +or- 8.34	22

Field sample, ~5 Gyr old
Gl 1	1.351785	-37.357361	M1.5	5.3	4.3	 ... 	 ... 	<3.00	49.93 +or- 2.38	24
Gl 48	15.634300	+71.679816	M3.0	6.3	8.2	 ... 	 ... 	6.62 +or- 2.16	66.77 +or- 4.64	24
Gl 49	15.661952	+62.345048	M1.5	6.2	10.0	 ... 	 ... 	Not. Obs.	226.49 +or- 11.82	24
Gl 54	17.595428	-67.444959	M2.0	6.0	8.2	 ... 	 ... 	7.42 +or- 2.27	71.25 +or- 3.97	24
Gl 84	31.270188	-17.614637	M2.5	6.5	9.1	 ... 	 ... 	10.47 +or- 2.68	52.20 +or- 5.06	24
GJ 3135	31.452312	-30.176639	M2.5	8.4	9.3	 ... 	 ... 	Not. Obs.	<4.65	24
Gl 109	41.064621	+25.523364	M3.0	6.8	7.5	 ... 	 ... 	<3.00	29.77 +or- 3.33	24
GJ 3193 B	45.464123	-16.593364	M3.0	7.3	9.4	VB	7.1	25.53 +or- 1.32	95.91 +or- 1.60	24, 25
GJ 1065	57.684670	-06.094440	M3.5	8.6	9.5	 ... 	 ... 	<2.00	5.89 +or- 1.16	24
Gl 176	70.732396	+18.958168	M2.0	6.5	9.3	 ... 	 ... 	10.68 +or- 4.09	126.10 +or- 5.13	24
GJ 3325	75.833690	-17.373539	M3.0	7.8	9.2	 ... 	 ... 	<3.00	10.81 +or- 2.42	24
Gl 191	77.919088	-45.018414	M1.0	5.8	3.9	 ... 	 ... 	<5.00	<2.00	24
GJ 3378	90.296104	+59.597450	M3.5	7.5	7.9	 ... 	 ... 	<3.00	<2.00	24
Gl 226	92.582703	+82.106756	M2.0	6.9	9.4	 ... 	 ... 	0.34 +or- 1.84	36.57 +or- 3.13	24
Gl 257 A	104.447758	-44.291131	M3.0	6.9	8.0	VB	1.5	Not. Obs.	<3.00	24, 25
Gl 273	111.852082	+05.225787	M3.5	5.7	3.8	 ... 	 ... 	7.60 +or- 2.25	32.34 +or- 3.68	24
GJ 1105	119.552907	+41.303690	M3.5	7.7	8.6	 ... 	 ... 	11.44 +or- 2.62	27.17 +or- 3.56	24
GJ 2066	124.033260	+01.302573	M2.0	6.6	9.1	 ... 	 ... 	<6.00	53.23 +or- 3.89	24
GJ 3522	134.734710	+08.473860	M3.5	6.5	6.8	ABC (SB+C)	0.6	104.68 +or- 1.66	376.21 +or- 2.00	24, 26
GJ 1125	142.685764	+00.322657	M3.5	7.7	9.7	 ... 	 ... 	<3.00	11.92 +or- 2.46	24
Gl 358	144.943205	-41.067558	M2.0	6.9	9.5	 ... 	 ... 	8.81 +or- 5.29	Not Obs.	24
Gl 367	146.124322	-45.776508	M1.0	6.6	9.9	 ... 	 ... 	24.23 +or- 5.31	Not Obs.	24
Gl 382	153.073621	-03.745666	M1.5	5.9	7.9	 ... 	 ... 	18.70 +or- 2.81	220.52 +or- 6.50	24
Gl 393	157.231462	+00.841006	M2.0	6.2	7.1	 ... 	 ... 	10.20 +or- 0.81	101.36 +or- 1.73	24
Gl 408	165.017737	+22.832958	M2.5	6.3	6.7	 ... 	 ... 	4.32 +or- 2.34	53.59 +or- 4.82	24
Gl 411	165.834142	+35.969880	M2.0	4.2	2.6	 ... 	 ... 	30.10 +or- 5.48	468.13 +or- 11.11	24
Gl 412 A	166.369075	+43.526775	M0.5	5.5	4.9	VB (+M6)	35.7	15.94 +or- 1.22	50.66 +or- 1.41	24, 25
Gl 424	170.020119	+65.846485	M0.0	6.3	8.9	 ... 	 ... 	<5.00	131.53 +or- 7.33	24
Gl 433	173.862278	-32.539971	M1.5	6.5	8.9	 ... 	 ... 	Not. Obs.	66.23 +or- 6.19	24
Gl 445	176.922406	+78.691163	M3.5	6.7	5.4	 ... 	 ... 	<3.00	10.82 +or- 1.85	24
Gl 450	177.780572	+35.272015	M1.0	6.4	8.6	 ... 	 ... 	8.43 +or- 3.32	110.79 +or- 7.01	24
Gl 465	186.218762	-18.242290	M2.0	7.7	8.9	 ... 	 ... 	<3.00	<2.00	24
Gl 480.1	190.192871	-43.566376	M3.0	8.2	7.8	 ... 	 ... 	<5.00	<2.50	24
Gl 514	202.499109	+10.377164	M0.5	5.9	7.7	 ... 	 ... 	<5.00	177.59 +or- 6.73	24
GJ 3801	205.680292	+33.290099	M3.5	7.8	9.3	 ... 	 ... 	<5.00	3.38 +or- 2.61	24
Gl 581	229.864621	-07.722067	M3.0	6.7	6.2	 ... 	 ... 	<1.00	<1.00	24
Gl 623	246.038854	+48.352906	M2.5	6.6	8.1	 ... 	 ... 	7.90 +or- 2.17	53.00 +or- 2.71	24
Gl 625	246.352597	+54.304104	M1.5	6.6	6.5	 ... 	 ... 	<3.00	36.78 +or- 2.25	24
GJ 1207	254.273790	-04.348890	M3.5	8.0	8.7	 ... 	 ... 	32.15 +or- 1.74	105.01 +or- 0.41	24
GJ 3991	257.381434	+43.681341	M3.5	7.4	7.5	 ... 	 ... 	8.23 +or- 2.48	58.86 +or- 4.84	24
Gl 678.1 A	262.594696	+05.548531	M0.0	6.2	10.0	VB	16.4	14.12 +or- 3.21	149.02 +or- 3.95	24, 25
Gl 682	264.265260	-44.319214	M3.5	6.5	5.1	 ... 	 ... 	Not. Obs.	13.00 +or- 4.44	24
Gl 686	264.472279	+18.591711	M1.0	6.4	8.1	 ... 	 ... 	<5.00	90.85 +or- 3.60	24
Gl 694	265.983178	+43.378610	M2.5	6.8	9.5	 ... 	 ... 	<5.00	33.23 +or- 3.50	24
Gl 693	266.642624	-57.319043	M2.0	6.9	5.8	 ... 	 ... 	<6.00	7.33 +or- 3.85	24
Gl 701	271.281579	-03.031322	M1.0	6.2	7.8	 ... 	 ... 	Not. Obs.	98.13 +or- 6.67	24
Gl 725 A	280.694497	+59.630409	M3.0	5.2	3.6	VB	13.3	22.86 +or- 3.54	130.05 +or- 6.00	24, 25
